   BENCHMARK INFORMATION
benchmark:          draft
date:               Wed, 2016-04-27 12:17:28 ART
tool:               CPAchecker 1.5-svn 1106192+
CPU cores used:     1
------------------------------------------------------------

   SYSTEM INFORMATION
host:               circulito
os:                 Linux 3.13.0-85-generic x86_64
cpu:                Intel Core i7-3770 CPU @ 3.40GHz
- cores:            8
- max frequency:    3901.0 MHz
ram:                16714.051584 MB
------------------------------------------------------------



generate-explicit.original
Run set 1 of 6: skipped 


generate-predicate.original
Run set 2 of 6: skipped 


produce-witnesses-unexplored-predicate-from-explicit.original
Run set 3 of 6 with options '-heap 12000M -config test-configs/components/predicateAnalysis-generate-and-use-cmc-condition-print-specified-calls.properties -setprop limits.time.cpu=900s -setprop specification=${sourcefile_path}/${sourcefile_name}.explicit.assumption_automaton,test-configs/specification/AssumptionGuidingAutomaton.spc,test-configs/my-specification/detect-unexplored-calls.spc -outputpath benchexec-outputs/${inputfile_name}/${rundefinition_name}/${benchmark_date}/ -skipRecursion' and propertyfile 'None'

inputfile                         status                    cpu time   wall time        host     total   reached    memory
--------------------------------------------------------------------------------------------------------------------------
systemc/bist_cell.c               ERROR                         2.47        2.50        None    1.447s      None      None
systemc/kundu.c                   ERROR                         2.61        2.62        None    1.508s      None      None
systemc/kundu1_BUG.c              false(reach)                  9.62        9.64        None    7.270s    0.050s      None
systemc/kundu2_BUG.c              false(reach)                  9.48        9.49        None    7.053s    0.006s      None
systemc/mem_slave_tlm.1.c         ERROR                         3.22        3.24        None    1.930s      None      None
systemc/mem_slave_tlm.2.c         ERROR                         3.13        3.14        None    1.847s      None      None
systemc/mem_slave_tlm.3.c         ERROR                         3.13        3.13        None    1.887s      None      None
systemc/mem_slave_tlm.4.c         ERROR                         3.10        3.10        None    1.823s      None      None
systemc/mem_slave_tlm.5.c         ERROR                         3.22        3.23        None    1.922s      None      None
systemc/pc_sfifo_1.c              false(reach)                 27.33       27.35        None   24.409s    0.285s      None
systemc/pc_sfifo_1_BUG.c          false(reach)               1131.63     1137.13        None  593.988s    0.130s      None
systemc/pc_sfifo_2.c              false(reach)               2329.20     2332.96        None  740.306s    0.138s      None
systemc/pc_sfifo_2_BUG.c          false(reach)               1990.73     1991.43        None  402.267s    0.125s      None
systemc/pc_sfifo_3.c              ERROR                         2.52        2.56        None    1.454s      None      None
systemc/pipeline.c                true                        560.51      560.55        None  548.264s    1.982s      None
systemc/pipeline_BUG.c            false(reach)                102.63      102.72        None   77.114s    0.149s      None
systemc/token_ring.01.BUG.c       false(reach)                  7.79        7.82        None    5.883s    0.027s      None
systemc/token_ring.01.c           true                          5.48        5.49        None    4.449s    0.018s      None
systemc/token_ring.02.BUG.c       false(reach)                  9.05        9.07        None    7.076s    0.050s      None
systemc/token_ring.02.c           true                          9.17        9.18        None    7.843s    0.106s      None
systemc/token_ring.03.BUG.c       false(reach)                 11.31       11.33        None    9.020s    0.070s      None
systemc/token_ring.03.c           true                         14.25       14.27        None   11.994s    0.163s      None
systemc/token_ring.04.BUG.c       false(reach)                 13.03       13.05        None   10.331s    0.065s      None
systemc/token_ring.04.c           true                         21.19       21.20        None   19.093s    0.222s      None
systemc/token_ring.05.BUG.c       false(reach)                 15.49       15.52        None   12.251s    0.091s      None
systemc/token_ring.05.c           true                         34.33       34.34        None   31.780s    0.347s      None
systemc/token_ring.06.BUG.c       false(reach)                 17.30       17.33        None   14.125s    0.106s      None
systemc/token_ring.06.c           true                         76.29       76.34        None   72.066s    0.909s      None
systemc/token_ring.07.BUG.c       false(reach)                 21.50       21.53        None   17.419s    0.115s      None
systemc/token_ring.07.c           true                        270.84      270.92        None  264.472s    2.059s      None
systemc/token_ring.08.BUG.c       false(reach)                 24.37       24.40        None   20.206s    0.115s      None
systemc/token_ring.08.c           unknown                    1007.02     1007.13        None  983.588s    3.691s      None
systemc/token_ring.09.BUG.c       false(reach)                 26.64       26.68        None   21.725s    0.091s      None
systemc/token_ring.14.BUG.c       false(reach)                 26.92       26.94        None   19.600s    0.048s      None
systemc/toy.c                     unknown                    3486.36     3486.63        None  900.881s    0.095s      None
systemc/toy1_BUG.c                false(reach)                 20.75       20.83        None   17.098s    0.038s      None
systemc/toy2_BUG.c                false(reach)                 20.84       20.86        None   17.298s    0.039s      None
systemc/transmitter.01.BUG.c      false(reach)                  7.15        7.17        None    5.275s    0.012s      None
systemc/transmitter.02.BUG.c      false(reach)                  7.72        7.73        None    5.821s    0.020s      None
systemc/transmitter.03.BUG.c      false(reach)                  9.50        9.51        None    7.479s    0.036s      None
systemc/transmitter.04.BUG.c      false(reach)                 11.78       11.80        None    9.212s    0.054s      None
systemc/transmitter.05.BUG.c      false(reach)                 13.48       13.51        None   10.792s    0.037s      None
systemc/transmitter.06.BUG.c      false(reach)                 15.65       15.68        None   12.735s    0.088s      None
systemc/transmitter.07.BUG.c      false(reach)                 19.70       19.72        None   15.266s    0.080s      None
systemc/transmitter.08.BUG.c      false(reach)                 20.52       20.55        None   16.846s    0.132s      None
systemc/transmitter.09.BUG.c      false(reach)                 25.18       25.22        None   19.251s    0.171s      None
systemc/transmitter.10.BUG.c      false(reach)                 26.69       26.73        None   22.071s    0.136s      None
systemc/transmitter.11.BUG.c      false(reach)                 28.55       28.58        None   21.961s    0.133s      None
systemc/transmitter.12.BUG.c      false(reach)                 27.93       27.98        None   20.455s    0.029s      None
systemc/transmitter.15.BUG.c      false(reach)                 22.52       22.54        None   15.633s    0.016s      None
systemc/transmitter.16.BUG.c      false(reach)                 24.72       24.75        None   17.626s    0.037s      None
drivers64/drbd.BUG.c              false(reach)                 45.09       45.30        None   40.388s    0.025s      None
drivers64/farsync.BUG.c           false(reach)                 90.18       90.30        None   83.579s    0.301s      None
drivers64/gigaset.BUG.c           unknown                     902.93      902.95        None  900.250s    0.071s      None
drivers64/i915.c                  ERROR                        22.89       22.93        None   18.134s      None      None
